,SID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,a,-2734.8811476718724,-2478.126445583957,2773.023189924503,-370.107303713118,-140.06020719911746,-155.39821491540448,-2138.2764842753504,-1061.6988035090508,196.05869783850068,-209.96715003386925,172.8870767168196,356.70946207455785,-550.934279593959,-325.28743369487427,-316.1195138442046,-308.28837044701703,-141.17971499147325,-435.4974231109653,368.8471044854195,153.8863998178305
1,a,-3144.8869002615056,-2337.368241003204,2988.407218834045,-508.2623772490271,169.07574941411633,-489.67537943894524,-1931.3744432903313,-1380.9168075757366,89.01112260555303,-345.7273556562017,717.0368488617044,789.116714491358,148.997274667269,0.8113626881189901,-105.9494055214372,-571.0921143220606,-355.5774318043805,-232.07913285767793,-515.6916742961374,-47.90970436898592
2,a,-4459.368676784778,-1807.9217456670358,3082.140371154827,-948.1792514361894,1082.9432043238057,-753.0541312524371,-2137.7859690179416,-1869.6340594121325,18.272581907705288,-466.52596450397556,1142.3947928681118,1002.364449719491,729.7379650864337,-206.95962046320847,561.8346228661322,-883.6203559012787,-286.5002878441635,25.060992639404922,-1157.8577669528802,-343.7219506397253
3,a,-3971.374591700034,-1630.1636400336768,4221.087641315101,-140.10226354279555,810.5011115850594,-716.8470001926606,-2303.9826769989654,-2086.0625988745514,-12.386849756940698,-1136.2743775715965,607.9687111099978,1815.4928469169295,-533.1021899699348,-473.73918448847314,1570.373140336701,-1266.7490583682043,1057.8855488843435,-635.6279546237841,-981.7784614793603,-508.9325362468056
4,a,-4276.999860384838,-1914.7008825211174,4418.084038260677,-412.0479555774068,354.38508519998913,-388.1344908653886,-2422.818711142286,-1719.1113051322857,602.2041511097009,-1701.7410684979395,750.1883667324527,1161.0255763805515,-983.7784036552221,-96.29382699297108,1193.0153922768504,-529.6042665787487,578.7549521131008,-1017.5435201013987,52.93377233712461,-601.8400872061717
5,a,-3572.8201135021905,-2063.531707232661,3031.997232332109,-238.45738828496116,58.20628710736791,-346.95520197835094,-1797.8557896333414,-1171.1835344874592,256.2725908888811,-1541.5241010578345,595.7036045121062,-416.15874887369597,-1723.5887558915479,1053.4817401771234,249.7780547792704,695.1187345250712,219.665106429305,-788.5469729627875,1196.6083531961262,-444.5662506497276
6,a,-2698.8651973611513,-2605.0387017471844,1908.5746512903684,-181.28000084681275,-14.39032450268763,168.1434124587885,-1192.6057089606632,-815.7723289717909,-124.03835940973752,-272.6072542299327,547.0003947137158,-1434.5247247787872,-1696.0404620252275,1567.5316185693487,-496.05877938306236,1001.0198330248013,-412.7251090135219,150.3281935568991,687.6379673985555,-71.93720807843192
7,a,-3092.4474278914004,-2409.910796517127,2703.5421605369606,-784.9215916571259,-179.37060219989772,684.5301009006239,-2074.4664290058045,-717.277772920861,-10.261280130997413,-1020.9477340868443,106.2833431461691,-62.20417316123062,-1430.2230542658338,130.26441357130062,7.77002715058501,382.2684541163139,516.0313382143818,-802.481395798626,1005.6164537892855,-268.0501135979584
8,a,-3642.8192223009096,-2821.9476050062012,2225.6410972908616,-676.867682838483,-322.7305978199257,4.402214436683934,-1571.6000201073516,-1026.2278343792193,-5.602346462334012,-569.1754208877816,802.3005589646644,-610.1029880585409,-1043.7457298606507,1794.0835707046067,-381.03555935698034,773.6563152989318,-543.729480120614,-193.90889163665224,619.9139609569833,-268.13362112814934
9,a,-2657.0998515264955,-2369.8362088454237,2383.3423949468424,-580.3448818568652,-500.85693666939693,514.4630935007658,-1853.8898610647618,-600.1676552803541,-353.34185413059436,-810.1269268551595,-42.20386358409897,-7.872236941402079,-1725.7750859265718,-672.9720178870867,-28.087707610109646,324.7228125125556,903.6665164255861,-1014.9651706105122,1024.537637293735,92.23769137505822
